source,source_url,playlist_index,video_id,title,url,channel,uploader,duration,upload_date,thumbnail
ai_engineer_channel,https://www.youtube.com/@aiDotEngineer/videos,26,pMggiOb18tc,"The Golden Age of AI Engineering — Alexander Embiricos & Romain Huet & Peter Steinberger, OpenAI",https://www.youtube.com/watch?v=pMggiOb18tc,AI Engineer,,1513,,
ai_engineer_channel,https://www.youtube.com/@aiDotEngineer/videos,27,xUnRQ9vLXxo,"Everything we knew about software has changed — Theo Browne, @t3dotgg ​",https://www.youtube.com/watch?v=xUnRQ9vLXxo,AI Engineer,,962,,
ai_engineer_channel,https://www.youtube.com/@aiDotEngineer/videos,28,grdoOC1BT1s,"Think You Can Build a Game with AI? Think Again! - Danielle An & David Hoe, Meta",https://www.youtube.com/watch?v=grdoOC1BT1s,AI Engineer,,1080,,
ai_engineer_channel,https://www.youtube.com/@aiDotEngineer/videos,29,iRcX54EO5g8,"Your agent is blindfolded — Johan Lajili, Poolside AI",https://www.youtube.com/watch?v=iRcX54EO5g8,AI Engineer,,598,,
ai_engineer_channel,https://www.youtube.com/@aiDotEngineer/videos,30,HsxQICTLF84,"Building an ACP-Compatible Agent Live — Bennet Fenner, Zed",https://www.youtube.com/watch?v=HsxQICTLF84,AI Engineer,,1099,,
ai_engineer_channel,https://www.youtube.com/@aiDotEngineer/videos,31,HEFSExa0xl0,"Teaching Coding Agents to do Spreadsheets - Nuno Campos, Witan Labs",https://www.youtube.com/watch?v=HEFSExa0xl0,AI Engineer,,1149,,
ai_engineer_channel,https://www.youtube.com/@aiDotEngineer/videos,32,MpZzWMdmQCE,"Your coding agent doesn't always follow your rules — Talha Sheikh, Checkout.com",https://www.youtube.com/watch?v=MpZzWMdmQCE,AI Engineer,,608,,
ai_engineer_channel,https://www.youtube.com/@aiDotEngineer/videos,33,BqZrTdgBaPw,"Running a Chess YouTube Channel entirely by AI — Stephan Steinfurt, TNG",https://www.youtube.com/watch?v=BqZrTdgBaPw,AI Engineer,,991,,
ai_engineer_channel,https://www.youtube.com/@aiDotEngineer/videos,34,4kYl2_mqmnQ,"I Run a Fleet of AI Agents Across Three Machines. Here's What Broke. - Kyle Jaejun Lee, KRAFTON",https://www.youtube.com/watch?v=4kYl2_mqmnQ,AI Engineer,,551,,
ai_engineer_channel,https://www.youtube.com/@aiDotEngineer/videos,35,IQkVMvXQKLY,"Your LLM Deception Monitor Is Broken. The Fix Is in the Training Data - Sachin Kumar, LexisNexis",https://www.youtube.com/watch?v=IQkVMvXQKLY,AI Engineer,,838,,
